customer_id,customer_name,gender,age,city,state,country,customer_segment,signup_date
C5044,Yuvraj  Gera,Male,24,Dindigul,Assam,India,Retail,05-03-2025
C5045,Dharmajan Saran,Female,58,Chandigarh,Kerala,India,Wholesale,25-07-2024
C5046,Zain Raja,Female,34,Nandyal,Gujarat,India,Corporate,18-07-2021
C5047,Ojas Sethi,Female,47,Deoghar,Uttarakhand,India,Corporate,22-10-2022
C5048,Vritika Apte,Female,29,Patiala,Telangana,India,Corporate,12-06-2023
C5049,Nishith Vaidya,Male,56,Haldia,Bihar,India,Corporate,19-05-2022
C5050,Kiaan Bali,Female,49,Pune,Karnataka,India,Wholesale,15-02-2023
C5051,Sara Dash,Male,27,Kottayam,Maharashtra,India,Corporate,23-01-2024
C5052,Suhana Borra,Female,24,Rajpur Sonarpur,West Bengal,India,Wholesale,23-09-2024
C5053,Urvi Upadhyay,Female,550,Sangli-Miraj & Kupwad,West Bengal,India,Corporate,12-12-2021
C5054,Hridaan Lal,Male,37,Tirunelveli,Haryana,India,Retail,27-12-2022
C5055,Purab Loke,Male,24,Rewa,Gujarat,India,Corporate,13-07-2025
C5056,,Male,59,Tadepalligudem,Bihar,India,Corporate,02-02-2025
C5057,Advik Mall,Male,56,Dindigul,Mizoram,India,Corporate,16-08-2023
C5058,Tara Randhawa,Male,59,Dewas,Nagaland,India,Retail,01-02-2022
C5059,Zain Dugal,Male,45,Karawal Nagar,Meghalaya,India,Retail,13-08-2022
C5060,Sahil Basu,Female,44,Surendranagar Dudhrej,Arunachal Pradesh,India,Wholesale,20-05-2024
C5061,Ahana  Rajagopal,Female,26,Aizawl,Goa,India,Retail,22-10-2023
C5062,Indrajit Basu,Female,64,Guntakal,Sikkim,India,Wholesale,26-03-2022
C5063,Saanvi Borde,Male,50,Katni,Goa,India,Retail,19-07-2024
C5064,Heer Tella,Female,62,Hajipur,Maharashtra,India,Wholesale,31-03-2023
C5065,,Female,64,Srikakulam,Bihar,India,Wholesale,22-10-2021
C5066,Anaya Khosla,Male,60,Tiruchirappalli,Goa,India,Wholesale,26-08-2021
C5067,Aniruddh Singhal,Female,58,Nagpur,Arunachal Pradesh,India,Corporate,28-03-2025
C5068,Amani Dada,Female,37,Kota,Chhattisgarh,India,Wholesale,20-05-2021
C5069,Ryan Yohannan,Female,47,Kharagpur,Chhattisgarh,India,Wholesale,16-10-2024
C5070,Eshani Kapur,Female,12,New Delhi,Manipur,India,Retail,08-05-2025
C5071,Ela Bawa,Female,59,Ambarnath,Maharashtra,India,Retail,08-05-2021
C5072,Nakul Thaker,Male,25,Bhopal,Rajasthan,India,Retail,21-10-2021
C5073,Zain Mangat,Female,23,Shimoga,Maharashtra,India,Retail,10-11-2023
C5074,Advik Sood,Male,45,Ujjain,Kerala,India,Wholesale,03-11-2022
C5075,Saksham Chahal,Female,24,Purnia,Gujarat,India,Wholesale,14-09-2025
C5076,Anaya Cheema,Female,21,Indore,Chhattisgarh,India,Wholesale,15-05-2025
C5077,Manikya Chandra,Female,37,Nizamabad,Andhra Pradesh,India,Retail,14-07-2021
C5078,Mamooty Kota,Female,62,Etawah,Uttarakhand,India,Wholesale,27-03-2024
C5079,Vanya Hegde,Male,63,Yamunanagar,Mizoram,India,Wholesale,22-01-2023
C5080,Misha Ahuja,Female,36,Jodhpur,Manipur,India,Wholesale,18-07-2025
C5081,Alisha Ravi,Male,51,Ghaziabad,Mizoram,India,Corporate,14-04-2023
C5082,Raunak Ramanathan,Male,62,Dhule,Jharkhand,India,Wholesale,27-11-2024
C5083,Mishti Shere,Male,45,Coimbatore,Mizoram,India,Wholesale,29-09-2025
C5084,Anahita Vig,Female,47,Khandwa,Jharkhand,India,Retail,28-05-2022
C5085,Devansh Sant,Male,37,Karimnagar,Manipur,India,Retail,09-01-2025
C5086,Adah Babu,Male,19,Jodhpur,Gujarat,India,Corporate,10-09-2023
C5087,Advika Lanka,Male,48,Madurai,Tripura,India,Corporate,17-11-2021
C5088,Alisha Sarin,Female,36,Faridabad,Sikkim,India,Corporate,31-05-2024
C5089,Zain Keer,Male,19,Chennai,Karnataka,India,Retail,23-12-2022
C5090,Taran Amble,Male,20,Vellore,Bihar,India,Wholesale,03-05-2021
C5091,Vritika Khare,Female,50,Madurai,Goa,India,Retail,07-12-2022
C5092,Zaina Raju,Male,37,Jodhpur,Madhya Pradesh,India,Retail,18-12-2022
C5093,Rati Dhar,Female,22,Kota,Assam,India,Retail,15-11-2023
C5094,Divij Bhasin,Female,29,Udaipur,Uttar Pradesh,India,Wholesale,22-04-2024
C5095,Aniruddh Chander,Male,56,Ratlam,Mizoram,India,Retail,10-08-2023
C5096,Nirvi Bhakta,Male,25,Khandwa,Uttar Pradesh,India,Retail,29-03-2023
C5097,Nirvi Dutta,Female,54,Latur,Manipur,India,Corporate,10-07-2024
C5098,Mehul Sandhu,Male,25,Adoni,Odisha,India,Wholesale,17-06-2025
C5099,,Female,39,Ranchi,Telangana,India,Corporate,08-09-2025
C5100,Yashvi Sampath,Female,56,Pallavaram,Uttar Pradesh,India,Wholesale,02-03-2024
C5101,Bhamini Bala,Male,54,Jalgaon,Telangana,India,Corporate,06-09-2025
C5102,Aarav Butala,Female,45,Tiruppur,Bihar,India,Corporate,03-07-2023
C5103,Saanvi Hegde,Male,30,Ludhiana,Gujarat,India,Wholesale,22-08-2022
C5104,Saanvi Gupta,Female,48,Bhagalpur,Nagaland,India,Corporate,25-08-2022
C5105,Aniruddh Kota,Female,32,Rohtak,Karnataka,India,Wholesale,01-07-2025
C5106,Anay Deo,Female,51,Shimoga,Karnataka,India,Retail,25-02-2025
C5107,Tara Dass,Male,35,Ballia,Manipur,India,Retail,27-12-2023
C5108,Jhanvi Dada,Female,50,Navi Mumbai,West Bengal,India,Corporate,16-02-2023
C5109,Aarna Kar,Male,12,New Delhi,Madhya Pradesh,India,Retail,13-03-2025
C5110,Armaan Vohra,Male,340,Ichalkaranji,Rajasthan,India,Retail,31-08-2022
C5111,Jhanvi Setty,Male,44,Guna,Tamil Nadu,India,Wholesale,15-06-2025
C5112,Anya Soman,Male,65,Sangli-Miraj & Kupwad,Meghalaya,India,Corporate,03-06-2025
C5113,Onkar Sengupta,Male,19,Ambala,Tripura,India,Wholesale,21-04-2022
C5114,Rania Sahota,Male,56,Kharagpur,Bihar,India,Corporate,05-05-2024
C5115,Mehul Master,Male,48,Ghaziabad,Jharkhand,India,Retail,23-01-2025
C5116,Zara Sinha,Male,52,Khammam,Tripura,India,Wholesale,10-11-2023
C5117,Anvi Singhal,Male,39,Hapur,Madhya Pradesh,India,Corporate,19-07-2023
C5118,Aaina Goel,Male,47,Shivpuri,West Bengal,India,Wholesale,14-11-2024
C5119,Miraya Ray,Male,18,Sultan Pur Majra,Punjab,India,Retail,09-05-2023
C5120,Anahita Brar,Male,31,Surat,Chhattisgarh,India,Corporate,23-11-2023
C5121,Dhruv Vala,Female,63,Nellore,Uttar Pradesh,India,Wholesale,04-07-2024
C5122,Zaina Gara,Male,52,Bilaspur,Nagaland,India,Corporate,03-11-2024
C5123,Mamooty Bansal,Male,18,Agra,Karnataka,India,Wholesale,26-09-2022
C5124,Siya Bhatti,Female,65,Alwar,Karnataka,India,Corporate,16-08-2025
C5125,Kaira Chaudry,Female,49,Rourkela,Maharashtra,India,Corporate,21-10-2025
C5126,Anika Dash,Male,56,Kottayam,Andhra Pradesh,India,Retail,02-07-2025
C5127,Nishith Banik,Male,29,Burhanpur,Manipur,India,Corporate,24-03-2024
C5128,,Male,28,Bhilai,Meghalaya,India,Corporate,01-05-2024
C5129,Indrans Mammen,Male,41,Burhanpur,Andhra Pradesh,India,Wholesale,10-05-2022
C5130,Tushar Andra,Male,36,Kochi,Chhattisgarh,India,Corporate,13-08-2025
C5131,Yakshit Chandra,Female,52,Dehradun,Mizoram,India,Wholesale,11-12-2021
C5132,Lakshay Bedi,Male,32,Bellary,Telangana,India,Wholesale,31-03-2021
C5133,Shanaya Bhatt,Female,65,Warangal,Karnataka,India,Retail,29-11-2024
C5134,Vardaniya Singhal,Female,27,Panchkula,Uttarakhand,India,Retail,07-11-2025
C5135,Stuvan Din,Female,53,Morena,Rajasthan,India,Wholesale,21-07-2023
C5136,Nakul Chaudhuri,Female,45,Bareilly,Tamil Nadu,India,Wholesale,11-06-2023
C5137,Zain Srivastava,Male,47,Phagwara,Uttar Pradesh,India,Retail,15-09-2025
C5138,Navya Ram,Female,46,Bhilwara,Meghalaya,India,Corporate,24-09-2024
C5139,Bhavin Sundaram,Female,56,Kollam,Tripura,India,Wholesale,09-11-2021
C5140,Shlok Garde,Female,33,Gandhinagar,Assam,India,Corporate,21-01-2021
C5141,Ira Sarna,Female,37,Tumkur,Chhattisgarh,India,Wholesale,14-11-2023
C5142,Samiha Sharma,Male,21,Asansol,Nagaland,India,Corporate,17-11-2021
C5143,Samarth Dara,Male,38,Sangli-Miraj & Kupwad,Haryana,India,Wholesale,23-02-2022
C5144,Hridaan Subramanian,Male,26,Thiruvananthapuram,Maharashtra,India,Wholesale,02-04-2024
C5145,Nakul Ratta,Male,41,Tadepalligudem,Himachal Pradesh,India,Retail,09-04-2024
C5146,Jayant Subramaniam,Male,59,Rourkela,Maharashtra,India,Corporate,22-09-2021
C5147,Alisha Chanda,Female,59,Danapur,Uttar Pradesh,India,Corporate,27-11-2025
C5148,Shalv Kalla,Male,45,Gwalior,Goa,India,Wholesale,28-01-2025
C5149,Bhamini Khurana,Male,130,Amravati,Telangana,India,Corporate,05-12-2025
C5150,Manjari Chad,Female,38,Mehsana,Sikkim,India,Wholesale,06-01-2023
C5151,Nirvaan Dash,Female,42,Amroha,Nagaland,India,Retail,25-10-2025
C5152,Aradhya Golla,Male,63,Allahabad,Punjab,India,Wholesale,21-03-2022
C5153,Veer Kaul,Male,52,Khammam,Arunachal Pradesh,India,Retail,23-03-2022
C5154,Saanvi Gulati,Female,21,Muzaffarpur,Uttar Pradesh,India,Corporate,10-07-2024
C5155,Kabir Mangal,Male,46,Ramgarh,Meghalaya,India,Wholesale,15-10-2022
C5156,Advik Salvi,Female,19,Kolkata,Kerala,India,Corporate,15-09-2025
C5157,Dhruv Varughese,Female,28,Bikaner,Haryana,India,Corporate,24-11-2022
C5158,Vedika Kashyap,Male,51,Unnao,Meghalaya,India,Retail,29-09-2023
C5159,Lakshay Johal,Female,41,Munger,Meghalaya,India,Wholesale,07-10-2022
C5160,Priyansh Loke,Male,61,Thanjavur,Telangana,India,Wholesale,03-10-2021
C5161,Yashvi Venkataraman,Female,55,Dewas,Sikkim,India,Wholesale,18-12-2024
C5162,Damini Sheth,Male,20,Hospet,Himachal Pradesh,India,Retail,25-08-2025
C5163,Biju Bawa,Male,32,Hospet,Mizoram,India,Wholesale,26-09-2023
C5164,Riaan Dada,Male,50,Guna,Haryana,India,Corporate,14-08-2025
C5165,Farhan Dara,Female,130,Bhagalpur,Jharkhand,India,Retail,09-09-2022
C5166,Kartik Baria,Female,61,Raurkela Industrial Township,Gujarat,India,Corporate,10-09-2025
C5167,Pari Butala,Male,39,Pondicherry,Nagaland,India,Corporate,19-10-2024
C5168,Aaina Suresh,Male,28,Firozabad,Chhattisgarh,India,Retail,20-02-2024
C5169,Inaaya  Luthra,Male,49,Karawal Nagar,Meghalaya,India,Wholesale,04-12-2023
C5170,Yuvraj  Thaman,Female,54,Ratlam,Mizoram,India,Retail,18-03-2023
C5171,Neysa Uppal,Male,43,Shimla,Rajasthan,India,Corporate,26-03-2023
C5172,Nakul Bhandari,Male,31,Nandyal,West Bengal,India,Corporate,28-04-2021
C5173,Azad Wagle,Female,56,Tiruppur,Mizoram,India,Wholesale,16-01-2023
C5174,Trisha Karan,Male,38,Sagar,Madhya Pradesh,India,Retail,04-12-2022
C5175,Keya Char,Female,30,Ichalkaranji,Tripura,India,Corporate,21-08-2021
C5176,Pihu Swamy,Male,64,Ajmer,Mizoram,India,Corporate,10-06-2021
C5177,Onkar Singhal,Male,51,Shimoga,Uttarakhand,India,Retail,27-04-2025
C5178,Ira Warrior,Male,44,Vijayanagaram,Sikkim,India,Retail,13-07-2025
C5179,Mahika Baral,Female,59,Sambalpur,Assam,India,Retail,04-04-2023
C5180,Pari Vaidya,Female,51,Pudukkottai,Uttar Pradesh,India,Retail,29-03-2021
C5181,Rania Bir,Female,58,Siwan,Rajasthan,India,Corporate,13-01-2022
C5182,Zeeshan Kamdar,Male,36,Gopalpur,Odisha,India,Corporate,09-01-2025
C5183,Aniruddh Andra,Male,45,Karawal Nagar,Gujarat,India,Corporate,17-09-2024
C5184,Shaan Raval,Female,43,Hosur,Mizoram,India,Wholesale,09-09-2025
C5185,Riaan Walia,Male,41,Satna,Mizoram,India,Wholesale,11-02-2025
C5186,Adah Wagle,Female,19,Guntakal,Chhattisgarh,India,Corporate,04-12-2021
C5187,Mehul Srinivasan,Male,49,Avadi,West Bengal,India,Wholesale,26-03-2022
C5188,Dishani Goda,Male,65,Ambala,Sikkim,India,Corporate,28-06-2023
C5189,Tushar Roy,Male,47,Kolkata,Sikkim,India,Wholesale,11-10-2023
C5190,Shamik Johal,Male,37,Mathura,Rajasthan,India,Corporate,16-10-2023
C5191,Pari Gola,Female,40,Sultan Pur Majra,Tamil Nadu,India,Wholesale,12-06-2021
C5192,Kiara Loke,Female,55,Jamalpur,Andhra Pradesh,India,Wholesale,04-01-2023
C5193,Kabir Lad,Female,28,Mirzapur,Bihar,India,Corporate,12-08-2023
C5194,Madhup Sampath,Male,36,Munger,Tripura,India,Corporate,09-06-2025
C5195,Shaan Tak,Female,22,Gaya,Tripura,India,Wholesale,17-07-2024
C5196,Heer Shroff,Male,50,Dindigul,Assam,India,Corporate,30-04-2021
C5197,Keya Dixit,Male,61,Sasaram,Jharkhand,India,Wholesale,03-10-2023
C5198,Kavya Gokhale,Male,28,Fatehpur,Sikkim,India,Retail,09-05-2022
C5199,Dharmajan Kapadia,Female,25,Loni,Haryana,India,Corporate,26-07-2021
C5200,Kimaya Kari,Female,23,Mumbai,Himachal Pradesh,India,Retail,20-06-2024
C5201,Anay Taneja,Male,53,Hyderabad,Kerala,India,Retail,27-03-2023
C5202,Rasha Mallick,Male,28,Jamnagar,Nagaland,India,Wholesale,12-12-2022
C5203,Priyansh Bhatt,Female,61,Panihati,Uttar Pradesh,India,Retail,09-03-2021
C5204,Piya Ganesh,Female,25,Bardhaman,Goa,India,Retail,28-07-2022
C5205,Kartik Kar,Male,64,Hindupur,Maharashtra,India,Retail,15-09-2025
C5206,Drishya Datta,Female,57,Hubli–Dharwad,Assam,India,Retail,15-01-2025
C5207,Urvi Rama,Female,19,Kanpur,Chhattisgarh,India,Retail,30-04-2024
C5208,Damini Chandra,Female,40,Udupi,Sikkim,India,Retail,12-03-2022
C5209,Hazel Ahuja,Female,21,Haridwar,Tripura,India,Corporate,13-05-2021
C5210,Samaira Devi,Female,56,Vijayanagaram,Punjab,India,Retail,20-12-2022
C5211,Shray Gala,Female,36,Jabalpur,Punjab,India,Wholesale,05-02-2024
C5212,Aaryahi Jayaraman,Female,36,Motihari,Sikkim,India,Wholesale,28-02-2024
C5213,Shanaya Swamy,Male,65,North Dumdum,Kerala,India,Wholesale,07-11-2024
C5214,Samaira Srivastava,Male,49,Bareilly,Gujarat,India,Corporate,03-09-2021
C5215,Nishith Ranganathan,Female,53,Rourkela,Jharkhand,India,Wholesale,23-12-2022
C5216,Amira Banerjee,Female,35,Begusarai,Telangana,India,Wholesale,12-02-2021
C5217,Kanav Aurora,Male,38,Jodhpur,Karnataka,India,Wholesale,18-12-2025
C5218,Hansh Sampath,Female,40,Shivpuri,Meghalaya,India,Retail,10-06-2024
C5219,Advik Chowdhury,Female,64,Shahjahanpur,Madhya Pradesh,India,Wholesale,03-02-2024
C5220,Prisha Kunda,Female,54,Jalna,Goa,India,Corporate,01-02-2021
C5221,Fateh Kamdar,Female,34,Tinsukia,Punjab,India,Corporate,23-11-2021
C5222,Yashvi Wason,Male,38,Vijayanagaram,Rajasthan,India,Retail,30-04-2024
C5223,Zoya Sethi,Male,31,Berhampur,Nagaland,India,Retail,17-06-2025
C5224,Dhruv Kashyap,Male,59,Mathura,Andhra Pradesh,India,Retail,18-06-2023
C5225,Jivin Mallick,Female,37,Jamalpur,Tripura,India,Retail,29-12-2021
C5226,Devansh Wason,Male,53,Kolhapur,Kerala,India,Corporate,29-10-2024
C5227,Eshani Kalla,Male,60,Bhubaneswar,Uttarakhand,India,Retail,17-01-2025
C5228,Kaira Arora,Female,27,Singrauli,West Bengal,India,Corporate,01-04-2025
C5229,Taran Lad,Female,18,Ambattur,Kerala,India,Retail,16-07-2022
C5230,Piya Chaudhuri,Male,25,Raebareli,Telangana,India,Corporate,10-04-2024
C5231,Trisha Gala,Male,51,Erode,Himachal Pradesh,India,Retail,07-01-2022
C5232,Shamik Contractor,Male,55,Bihar Sharif,West Bengal,India,Retail,20-02-2021
C5233,Devansh Kibe,Female,59,Adoni,Manipur,India,Retail,18-07-2023
C5234,Divit Chaudhuri,Male,25,Unnao,Uttar Pradesh,India,Corporate,12-01-2022
C5235,Yuvaan Singh,Male,43,Baranagar,Uttar Pradesh,India,Retail,07-12-2024
C5236,Shanaya Bir,Male,27,Bilaspur,Tamil Nadu,India,Retail,20-06-2023
C5237,Hrishita Brahmbhatt,Female,31,Bidhannagar,Manipur,India,Retail,24-01-2024
C5238,Aarna Singh,Male,60,Aurangabad,Tripura,India,Corporate,29-08-2022
C5239,Badal Gour,Female,59,Kharagpur,Tamil Nadu,India,Corporate,16-06-2023
C5240,Abram Jani,Female,50,Kadapa,Meghalaya,India,Wholesale,09-02-2023
C5241,Raunak Gour,Female,31,Jhansi,Bihar,India,Retail,08-12-2025
C5242,Aniruddh Bhat,Female,64,Sirsa,Tripura,India,Wholesale,29-01-2021
C5243,Raunak Baria,Female,40,Motihari,Arunachal Pradesh,India,Wholesale,02-12-2024
C5244,Mishti Som,Female,22,Indore,Punjab,India,Wholesale,02-03-2025
C5245,Rati Chowdhury,Female,57,Panihati,Goa,India,Retail,01-04-2025
C5246,Anya Bava,Male,46,Kadapa,Maharashtra,India,Wholesale,13-04-2023
C5247,Nirvaan Bath,Female,46,Mirzapur,Meghalaya,India,Retail,18-05-2023
C5248,Riaan Date,Female,28,Pallavaram,Odisha,India,Corporate,23-05-2024
C5249,Armaan Ratti,Male,38,Kolhapur,Rajasthan,India,Corporate,06-09-2022
C5250,Aaina Bhargava,Female,23,Shimla,Sikkim,India,Corporate,26-08-2023
C5251,Kaira Bajwa,Female,33,Morena,Telangana,India,Retail,28-03-2022
C5252,Ritvik Bhatia,Male,64,Bellary,Jharkhand,India,Retail,03-05-2023
C5253,Yashvi Lalla,Female,56,Bongaigaon,Punjab,India,Wholesale,13-03-2021
C5254,,Female,37,Jamnagar,Uttar Pradesh,India,Corporate,28-12-2022
C5255,Piya Ganesan,Female,48,Bhopal,Chhattisgarh,India,Retail,15-04-2024
C5256,Ivan Chander,Female,46,Jaunpur,Nagaland,India,Retail,25-11-2024
C5257,Kaira Handa,Male,22,Kanpur,Bihar,India,Retail,21-04-2022
C5258,Ahana  Srivastava,Male,31,Thanjavur,Andhra Pradesh,India,Corporate,17-09-2024
C5259,Kashvi Hora,Female,28,Udaipur,Jharkhand,India,Retail,04-06-2021
C5260,,Male,49,Phusro,Manipur,India,Corporate,01-04-2021
C5261,Ela Sant,Female,28,Ludhiana,Telangana,India,Wholesale,29-08-2023
C5262,Misha Deshmukh,Female,23,Warangal,Haryana,India,Retail,25-07-2022
C5263,Veer Sur,Female,49,Belgaum,Nagaland,India,Corporate,12-04-2024
C5264,Sara Tandon,Female,19,Bhiwani,Meghalaya,India,Retail,11-11-2025
C5265,Yasmin Viswanathan,Female,38,Orai,Mizoram,India,Retail,07-05-2025
C5266,,Male,35,Jaunpur,Gujarat,India,Corporate,15-08-2023
C5267,Saanvi Sankar,Male,63,Gandhidham,Gujarat,India,Retail,25-10-2021
C5268,Lakshit Hegde,Female,65,Salem,Karnataka,India,Wholesale,11-08-2021
C5269,Shalv Chowdhury,Female,24,Ratlam,Mizoram,India,Wholesale,08-02-2022
C5270,Zeeshan Rana,Female,31,Amaravati,Himachal Pradesh,India,Retail,08-03-2021
C5271,Kimaya Chhabra,Male,58,Bongaigaon,Nagaland,India,Retail,05-05-2022
C5272,Shayak Kar,Male,30,Junagadh,Assam,India,Retail,02-12-2022
C5273,Damini Thakkar,Female,40,Panvel,Mizoram,India,Retail,22-07-2022
C5274,Faiyaz Baria,Male,42,Kota,Maharashtra,India,Retail,24-12-2023
C5275,,Male,50,Tadipatri,Tamil Nadu,India,Retail,16-06-2022
C5276,Ira Bal,Male,21,Aurangabad,Gujarat,India,Corporate,28-12-2024
C5277,Saira Bhattacharyya,Male,45,Gandhinagar,Madhya Pradesh,India,Wholesale,06-02-2025
C5278,Hridaan Bali,Female,57,Bardhaman,Odisha,India,Retail,16-11-2023
C5279,Chirag Kapoor,Female,62,Jalna,Kerala,India,Retail,22-04-2023
C5280,Indrans Johal,Male,42,Patna,Mizoram,India,Wholesale,25-11-2021
C5281,Eva Aggarwal,Female,47,Rourkela,Chhattisgarh,India,Wholesale,21-05-2025
C5282,Hridaan Mangal,Male,58,Jehanabad,Madhya Pradesh,India,Wholesale,19-09-2025
C5283,Hunar Chatterjee,Male,38,Surendranagar Dudhrej,Gujarat,India,Retail,27-12-2020
C5284,Akarsh Acharya,Female,60,Kurnool,Goa,India,Retail,11-11-2022
C5285,Jayant Agate,Male,40,Hosur,Chhattisgarh,India,Corporate,10-08-2024
C5286,Saanvi Sarin,Female,28,Katni,Goa,India,Wholesale,09-12-2021
C5287,Ritvik Bhatti,Male,59,Mumbai,Haryana,India,Corporate,21-10-2021
C5288,Seher Dhillon,Male,37,Pune,Uttarakhand,India,Retail,11-05-2022
C5289,Nirvi Varty,Male,29,Machilipatnam,Punjab,India,Wholesale,05-02-2022
C5290,Mehul Randhawa,Female,49,Hospet,Kerala,India,Corporate,24-03-2023
C5291,Sahil Koshy,Male,24,Guntur,Goa,India,Corporate,23-06-2021
C5292,Rohan Sandal,Male,27,Gangtok,Jharkhand,India,Wholesale,10-07-2021
C5293,Anya Gour,Female,56,Vijayanagaram,West Bengal,India,Retail,29-10-2024
C5294,Taimur Zacharia,Male,54,Pune,Gujarat,India,Wholesale,13-04-2023
C5295,Indrans Gala,Male,19,Muzaffarpur,Rajasthan,India,Wholesale,28-11-2024
C5296,Saksham Guha,Female,36,Bulandshahr,Nagaland,India,Corporate,03-09-2024
C5297,Anahita Rout,Male,52,Sonipat,Odisha,India,Retail,31-07-2025
C5298,Sana Seshadri,Female,130,Kozhikode,Tamil Nadu,India,Corporate,17-07-2024
C5299,Purab Jha,Female,30,Dibrugarh,Sikkim,India,Retail,05-11-2021
C5300,Miraan Saini,Female,55,Tiruvottiyur,Haryana,India,Retail,05-04-2025
C5301,Tejas Sharma,Female,56,Meerut,Telangana,India,Retail,18-01-2022
C5302,Samaira Dalal,Female,24,Panipat,Maharashtra,India,Retail,11-10-2021
C5303,Krish Mannan,Female,62,Bilaspur,Tripura,India,Wholesale,20-12-2025
C5304,Umang Chand,Male,58,Bhagalpur,Maharashtra,India,Retail,23-09-2024
C5305,Stuvan Gokhale,Male,130,Imphal,Bihar,India,Corporate,08-07-2022
C5306,Fateh Doshi,Male,28,Kishanganj,Andhra Pradesh,India,Corporate,15-10-2022
C5307,Taimur Bail,Female,43,Jhansi,Bihar,India,Wholesale,09-08-2022
C5308,Shamik Dhillon,Female,53,Ulhasnagar,Uttarakhand,India,Wholesale,01-06-2021
C5309,Vaibhav Majumdar,Female,26,Ongole,Himachal Pradesh,India,Retail,24-10-2024
C5310,Suhana Soni,Male,39,Ichalkaranji,Tripura,India,Retail,26-02-2021
C5311,Abram Dube,Female,49,Bardhaman,Haryana,India,Wholesale,19-05-2024
